Statistic Measure	SVM(BoW)	Random Forest(BoW)	SVM(SVD)	Random Forest(SVD)	SVM(D2V)	Random Forest(D2V)	SVM(TF-IDF)
Accuracy	0.9543438086235344	0.9477414774426945	0.9523872865953777	0.948229810237572	0.9481495072133124	0.9429309407286567	0.968530388180033
Precision	0.9517598504755738	0.9478397224797497	0.9497825274987294	0.9457934173548719	0.9439677782231743	0.9399588329627608	0.9660656095469923
Recall	0.9504740579859192	0.9374377838720005	0.9476856073691003	0.9415658498207204	0.9453069995336459	0.937454263302009	0.9666698815639194
F-Measure	0.9508804764783785	0.941542728701165	0.9485515912418332	0.943410547161631	0.9444610149499028	0.9384429660777102	0.9662734723547983
